QueryText,Sector,clean_text,label,balancing
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,information regarding control yellow rust wheat,0,original
INFORMATION REGARDING TO CONTROL OF PHALARIS MINOR IN CHILLI ?,HORTICULTURE,information regarding control phalaris minor chilli,1,original
control of worm in bhindi?,HORTICULTURE,control worm bhindi,1,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
seed rate of moong?,AGRICULTURE,seed rate moong,0,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,information regarding control maize borer attack summer maize crop,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
asking about weather forcasting?,AGRICULTURE,asking weather forcasting,0,original
HOW TO CONTROL YELLOW RUST IN WHEAT?,AGRICULTURE,control yellow rust wheat,0,original
varieties of bhindi?,HORTICULTURE,varieties bhindi,1,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,information regarding latest varieties rice crop,0,original
Flower Problem In grep plant?,HORTICULTURE,flower problem grep plant,1,original
Pest in wheat crop,AGRICULTURE,pest wheat crop,0,original
new varieties of paddy?,AGRICULTURE,new varieties paddy,0,original
weather news of amritser,AGRICULTURE,weather news amritser,0,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,information regarding control maize borer attack summer maize crop,0,original
information regarding to suitable varieties of mungbean,AGRICULTURE,information regarding suitable varieties mungbean,0,original
information regarding  to weather in amritsar dist.,AGRICULTURE,information regarding weather amritsar dist,0,original
information regarding to seed rate of sorghum,AGRICULTURE,information regarding seed rate sorghum,0,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
information regarding to control of maize borer in sorghum,AGRICULTURE,information regarding control maize borer sorghum,0,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,information regarding latest varieties rice crop,0,original
information regarding to control of jassid in chilli,HORTICULTURE,information regarding control jassid chilli,1,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,information regarding control yellow rust wheat,0,original
weather of amritsar ?,AGRICULTURE,weather amritsar,0,original
INFO REGARDING PROCESSED PRODUCTS OF ROSE?,HORTICULTURE,info regarding processed products rose,1,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,information regarding control yellow rust wheat,0,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,information regarding control maize borer attack summer maize crop,0,original
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,HORTICULTURE,information regarding control fruit borer okra bhindi crop,1,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,HORTICULTURE,information regarding improved varieties spring summer bhindi,1,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE,information regarding suitable varieties summer maize,0,original
